"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x1114437805453848576","x1355405871187165184",2021-01-30 06:41:56,"IamRobertNjake","I wish to send my sensational Congratulations to @Masterways_Prop now @MasterwaysRE for your Brand Reveal &amp; Launch event and also for your exemplary perfomance over the last 25Years
HatsOff!! Hongera!
#MasterwaysBrandLaunch #UhuruInSagana #GemaInvisible @ntvkenya @citizentvkenya https://t.co/kSsQjSJjFg","Twitter for Android",283,,,,FALSE,FALSE,2,0,,,"MasterwaysBrandLaunch UhuruInSagana GemaInvisible",,,,,"http://pbs.twimg.com/media/Es9edCnW4AIxtw9.jpg","https://t.co/kSsQjSJjFg","https://twitter.com/IamRobertNjake/status/1355405871187165184/photo/1","photo","http://pbs.twimg.com/media/Es9edCnW4AIxtw9.jpg","https://t.co/kSsQjSJjFg","https://twitter.com/IamRobertNjake/status/1355405871187165184/photo/1",,"x1882828676 x915116553196236800 x25985333 x70394965","Masterways_Prop MasterwaysRE ntvkenya citizentvkenya","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/IamRobertNjake/status/1355405871187165184","Rob.Njake ®","","Independent Thinker",,FALSE,220,136,0,626,4711,2019-04-06 08:00:52,FALSE,,,,"https://pbs.twimg.com/profile_banners/1114437805453848576/1555842976",,"http://pbs.twimg.com/profile_images/1325063564877570048/2R5h9aMi_normal.jpg"
"x2858017338","x1355335575746846724",2021-01-30 02:02:36,"OliveOkoli","What are some of the indicators of success in business  #MasterwaysBrandLaunch https://t.co/mWuzFI2OzV","Twitter for Android",115,,,,FALSE,TRUE,0,3,,,"MasterwaysBrandLaunch",,,,,"http://pbs.twimg.com/media/Es6C-N0XUAQgVYm.jpg","https://t.co/mWuzFI2OzV","https://twitter.com/RJerop_/status/1355164554691543040/photo/1","photo","http://pbs.twimg.com/media/Es6C-N0XUAQgVYm.jpg","https://t.co/mWuzFI2OzV","https://twitter.com/RJerop_/status/1355164554691543040/photo/1",,"x2561714864","RJerop_","en",,,,,,,,,,,,,,,,"x1355164554691543040","What are some of the indicators of success in business  #MasterwaysBrandLaunch https://t.co/mWuzFI2OzV",2021-01-29 14:43:02,"Twitter for Android",1,3,"x2561714864","RJerop_","MEMO",13847,3410,25941,"<U+0001F1F0><U+0001F1EA>","Live || Love || Have an impact before you die ||",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/OliveOkoli/status/1355335575746846724","Oliver Okoli","Kenya<U+0001F1F0><U+0001F1EA>","I trust no one",,FALSE,1430,5017,2,3210,8189,2014-10-16 12:48:07,FALSE,,,,"https://pbs.twimg.com/profile_banners/2858017338/1594320294","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1227050368502243328/BlP1_u4a_normal.jpg"
"x975351967596859393","x1355213513023746050",2021-01-29 17:57:34,"OsuwoJr",".@robjun_990960 na kuwai deal fiti usiku wa leo 
<U+265F><U+FE0F>Go to Lipa Na Mpesa 
<U+265F><U+FE0F>Paybill 990960
<U+265F><U+FE0F>Acc No. as your safaricom No. 
<U+260E><U+FE0F> call/sms 0771763472

MCAs Kanze Dena #masterwaysbrandlaunch #KibichoMustResign Chief Justice Council of governos #250vs750 #KenyaAirwaysCorruptCEO https://t.co/vrcccZx38n","Twitter for Android",140,,,,FALSE,TRUE,0,21,,,,,,,,,,,,,,,,"x1218241052043284480 x1380815491","kafangi robjun_990960","en",,,,,,,,,,,,,,,,"x1355188263066218498",".@robjun_990960 na kuwai deal fiti usiku wa leo 
<U+265F><U+FE0F>Go to Lipa Na Mpesa 
<U+265F><U+FE0F>Paybill 990960
<U+265F><U+FE0F>Acc No. as your safaricom No. 
<U+260E><U+FE0F> call/sms 0771763472

MCAs Kanze Dena #masterwaysbrandlaunch #KibichoMustResign Chief Justice Council of governos #250vs750 #KenyaAirwaysCorruptCEO https://t.co/vrcccZx38n",2021-01-29 16:17:14,"Twitter for Android",27,21,"x1218241052043284480","kafangi","<U+0001F341>NIWAI KIBANGI<U+0001F341>",37401,5058,54777,"<U+0001F30E>","jokes city<U+0001F602>||#MUFC||kijana ya Egerton<U+0001F468><U+0001F3FD><U+200D><U+0001F393>|| leta Biz tupepete|| won 5 stingy boyfriend award<U+0001F3C6>|",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/OsuwoJr/status/1355213513023746050","KENYANTROUBLER","Kenya","Successful Artist in my bedroom
10 Top Albums in my Bathroom
killing negativity in my Livingroom 
Can't stop sleeping, coz I can't stop dreaming 
Fuck Fake","https://t.co/rbgC1550oD",FALSE,1840,1434,0,1671,3904,2018-03-18 12:43:25,FALSE,"https://t.co/rbgC1550oD","http://www.osuwojr.ke",,"https://pbs.twimg.com/profile_banners/975351967596859393/1583662401",,"http://pbs.twimg.com/profile_images/1236595556631404544/LPrVJGFA_normal.jpg"
"x1284865734712205312","x1355209405508292609",2021-01-29 17:41:15,"TneyMashaah",".@robjun_990960 na kuwai deal fiti usiku wa leo 
<U+265F><U+FE0F>Go to Lipa Na Mpesa 
<U+265F><U+FE0F>Paybill 990960
<U+265F><U+FE0F>Acc No. as your safaricom No. 
<U+260E><U+FE0F> call/sms 0771763472

MCAs Kanze Dena #masterwaysbrandlaunch #KibichoMustResign Chief Justice Council of governos #250vs750 #KenyaAirwaysCorruptCEO https://t.co/vrcccZx38n","Twitter for Android",140,,,,FALSE,TRUE,0,21,,,,,,,,,,,,,,,,"x1218241052043284480 x1380815491","kafangi robjun_990960","en",,,,,,,,,,,,,,,,"x1355188263066218498",".@robjun_990960 na kuwai deal fiti usiku wa leo 
<U+265F><U+FE0F>Go to Lipa Na Mpesa 
<U+265F><U+FE0F>Paybill 990960
<U+265F><U+FE0F>Acc No. as your safaricom No. 
<U+260E><U+FE0F> call/sms 0771763472

MCAs Kanze Dena #masterwaysbrandlaunch #KibichoMustResign Chief Justice Council of governos #250vs750 #KenyaAirwaysCorruptCEO https://t.co/vrcccZx38n",2021-01-29 16:17:14,"Twitter for Android",27,21,"x1218241052043284480","kafangi","<U+0001F341>NIWAI KIBANGI<U+0001F341>",37401,5058,54777,"<U+0001F30E>","jokes city<U+0001F602>||#MUFC||kijana ya Egerton<U+0001F468><U+0001F3FD><U+200D><U+0001F393>|| leta Biz tupepete|| won 5 stingy boyfriend award<U+0001F3C6>|",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/TneyMashaah/status/1355209405508292609","Main Wolf Girl<U+0001F339>","Thika, Kenya","Money Lover <U+0001F60B>// DM For Business/Ads/Tags /Promos .
 THANK ME LATER <U+0001F60B>.My Services are Excellent
https://t.co/YMlPQcmpw3 0732223294",,FALSE,11945,3104,16,37650,34616,2020-07-19 15:00:51,FALSE,,,,"https://pbs.twimg.com/profile_banners/1284865734712205312/1610799896",,"http://pbs.twimg.com/profile_images/1350418315517304832/9kfvntOM_normal.jpg"
"x1267210163330723845","x1355206473312313346",2021-01-29 17:29:36,"Magic2Girl",".@robjun_990960 na kuwai deal fiti usiku wa leo 
<U+265F><U+FE0F>Go to Lipa Na Mpesa 
<U+265F><U+FE0F>Paybill 990960
<U+265F><U+FE0F>Acc No. as your safaricom No. 
<U+260E><U+FE0F> call/sms 0771763472

MCAs Kanze Dena #masterwaysbrandlaunch #KibichoMustResign Chief Justice Council of governos #250vs750 #KenyaAirwaysCorruptCEO https://t.co/vrcccZx38n","Twitter for Android",140,,,,FALSE,TRUE,0,21,,,,,,,,,,,,,,,,"x1218241052043284480 x1380815491","kafangi robjun_990960","en",,,,,,,,,,,,,,,,"x1355188263066218498",".@robjun_990960 na kuwai deal fiti usiku wa leo 
<U+265F><U+FE0F>Go to Lipa Na Mpesa 
<U+265F><U+FE0F>Paybill 990960
<U+265F><U+FE0F>Acc No. as your safaricom No. 
<U+260E><U+FE0F> call/sms 0771763472

MCAs Kanze Dena #masterwaysbrandlaunch #KibichoMustResign Chief Justice Council of governos #250vs750 #KenyaAirwaysCorruptCEO https://t.co/vrcccZx38n",2021-01-29 16:17:14,"Twitter for Android",27,21,"x1218241052043284480","kafangi","<U+0001F341>NIWAI KIBANGI<U+0001F341>",37401,5058,54777,"<U+0001F30E>","jokes city<U+0001F602>||#MUFC||kijana ya Egerton<U+0001F468><U+0001F3FD><U+200D><U+0001F393>|| leta Biz tupepete|| won 5 stingy boyfriend award<U+0001F3C6>|",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Magic2Girl/status/1355206473312313346","MagicGirl <U+0001F339>","Good vibes only","Paka fala hukula panya ako na ball<U+270C><U+FE0F>. 
Dm for Business Prom",,FALSE,22948,2202,16,81687,94972,2020-05-31 21:43:53,FALSE,,,,"https://pbs.twimg.com/profile_banners/1267210163330723845/1602194221",,"http://pbs.twimg.com/profile_images/1330737829543092224/tHK3guYZ_normal.jpg"
"x930116328173617157","x1355198470014070786",2021-01-29 16:57:48,"IamMukui",".@robjun_990960 na kuwai deal fiti usiku wa leo 
<U+265F><U+FE0F>Go to Lipa Na Mpesa 
<U+265F><U+FE0F>Paybill 990960
<U+265F><U+FE0F>Acc No. as your safaricom No. 
<U+260E><U+FE0F> call/sms 0771763472

MCAs Kanze Dena #masterwaysbrandlaunch #KibichoMustResign Chief Justice Council of governos #250vs750 #KenyaAirwaysCorruptCEO https://t.co/vrcccZx38n","Twitter for Android",140,,,,FALSE,TRUE,0,21,,,,,,,,,,,,,,,,"x1218241052043284480 x1380815491","kafangi robjun_990960","en",,,,,,,,,,,,,,,,"x1355188263066218498",".@robjun_990960 na kuwai deal fiti usiku wa leo 
<U+265F><U+FE0F>Go to Lipa Na Mpesa 
<U+265F><U+FE0F>Paybill 990960
<U+265F><U+FE0F>Acc No. as your safaricom No. 
<U+260E><U+FE0F> call/sms 0771763472

MCAs Kanze Dena #masterwaysbrandlaunch #KibichoMustResign Chief Justice Council of governos #250vs750 #KenyaAirwaysCorruptCEO https://t.co/vrcccZx38n",2021-01-29 16:17:14,"Twitter for Android",27,21,"x1218241052043284480","kafangi","<U+0001F341>NIWAI KIBANGI<U+0001F341>",37401,5058,54777,"<U+0001F30E>","jokes city<U+0001F602>||#MUFC||kijana ya Egerton<U+0001F468><U+0001F3FD><U+200D><U+0001F393>|| leta Biz tupepete|| won 5 stingy boyfriend award<U+0001F3C6>|",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/IamMukui/status/1355198470014070786","Freaky<U+0001F5A4>","Kenya","<U+2764><U+FE0F>
<U+0001F3CD><U+FE0F>
IRD

STAY REAL!

DM FOR BUSINESS ADVERTISEMENT 
<U+2764><U+FE0F><U+2764><U+FE0F>",,FALSE,14671,2954,15,70859,114133,2017-11-13 16:53:08,FALSE,,,,"https://pbs.twimg.com/profile_banners/930116328173617157/1609401359",,"http://pbs.twimg.com/profile_images/1349829901508079618/fIhzhaG-_normal.jpg"
"x1293794646976495619","x1355197809788674048",2021-01-29 16:55:10,"apondi_KE",".@robjun_990960 na kuwai deal fiti usiku wa leo 
<U+265F><U+FE0F>Go to Lipa Na Mpesa 
<U+265F><U+FE0F>Paybill 990960
<U+265F><U+FE0F>Acc No. as your safaricom No. 
<U+260E><U+FE0F> call/sms 0771763472

MCAs Kanze Dena #masterwaysbrandlaunch #KibichoMustResign Chief Justice Council of governos #250vs750 #KenyaAirwaysCorruptCEO https://t.co/vrcccZx38n","Twitter for Android",140,,,,FALSE,TRUE,0,21,,,,,,,,,,,,,,,,"x1218241052043284480 x1380815491","kafangi robjun_990960","en",,,,,,,,,,,,,,,,"x1355188263066218498",".@robjun_990960 na kuwai deal fiti usiku wa leo 
<U+265F><U+FE0F>Go to Lipa Na Mpesa 
<U+265F><U+FE0F>Paybill 990960
<U+265F><U+FE0F>Acc No. as your safaricom No. 
<U+260E><U+FE0F> call/sms 0771763472

MCAs Kanze Dena #masterwaysbrandlaunch #KibichoMustResign Chief Justice Council of governos #250vs750 #KenyaAirwaysCorruptCEO https://t.co/vrcccZx38n",2021-01-29 16:17:14,"Twitter for Android",27,21,"x1218241052043284480","kafangi","<U+0001F341>NIWAI KIBANGI<U+0001F341>",37401,5058,54777,"<U+0001F30E>","jokes city<U+0001F602>||#MUFC||kijana ya Egerton<U+0001F468><U+0001F3FD><U+200D><U+0001F393>|| leta Biz tupepete|| won 5 stingy boyfriend award<U+0001F3C6>|",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/apondi_KE/status/1355197809788674048","peasant","","",,FALSE,4394,477,2,15756,39303,2020-08-13 06:21:07,FALSE,,,,"https://pbs.twimg.com/profile_banners/1293794646976495619/1611307649",,"http://pbs.twimg.com/profile_images/1347776151419236354/Ko5Xlhfs_normal.jpg"
"x1170621152965910528","x1355197302433067008",2021-01-29 16:53:09,"DennaJeal",".@robjun_990960 na kuwai deal fiti usiku wa leo 
<U+265F><U+FE0F>Go to Lipa Na Mpesa 
<U+265F><U+FE0F>Paybill 990960
<U+265F><U+FE0F>Acc No. as your safaricom No. 
<U+260E><U+FE0F> call/sms 0771763472

MCAs Kanze Dena #masterwaysbrandlaunch #KibichoMustResign Chief Justice Council of governos #250vs750 #KenyaAirwaysCorruptCEO https://t.co/vrcccZx38n","Twitter for Android",140,,,,FALSE,TRUE,0,21,,,,,,,,,,,,,,,,"x1218241052043284480 x1380815491","kafangi robjun_990960","en",,,,,,,,,,,,,,,,"x1355188263066218498",".@robjun_990960 na kuwai deal fiti usiku wa leo 
<U+265F><U+FE0F>Go to Lipa Na Mpesa 
<U+265F><U+FE0F>Paybill 990960
<U+265F><U+FE0F>Acc No. as your safaricom No. 
<U+260E><U+FE0F> call/sms 0771763472

MCAs Kanze Dena #masterwaysbrandlaunch #KibichoMustResign Chief Justice Council of governos #250vs750 #KenyaAirwaysCorruptCEO https://t.co/vrcccZx38n",2021-01-29 16:17:14,"Twitter for Android",27,21,"x1218241052043284480","kafangi","<U+0001F341>NIWAI KIBANGI<U+0001F341>",37401,5058,54777,"<U+0001F30E>","jokes city<U+0001F602>||#MUFC||kijana ya Egerton<U+0001F468><U+0001F3FD><U+200D><U+0001F393>|| leta Biz tupepete|| won 5 stingy boyfriend award<U+0001F3C6>|",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/DennaJeal/status/1355197302433067008","JEALDENNA™<U+270A>","","I'm so ahead of my time even when I rhyme about the future I be reminiscing",,FALSE,11119,1096,6,44651,105466,2019-09-08 08:53:42,FALSE,,,,"https://pbs.twimg.com/profile_banners/1170621152965910528/1611954125",,"http://pbs.twimg.com/profile_images/1344672936075137024/yHP2-tOY_normal.jpg"
"x1247788402549731330","x1355196450997727233",2021-01-29 16:49:46,"DARSIL254",".@robjun_990960 na kuwai deal fiti usiku wa leo 
<U+265F><U+FE0F>Go to Lipa Na Mpesa 
<U+265F><U+FE0F>Paybill 990960
<U+265F><U+FE0F>Acc No. as your safaricom No. 
<U+260E><U+FE0F> call/sms 0771763472

MCAs Kanze Dena #masterwaysbrandlaunch #KibichoMustResign Chief Justice Council of governos #250vs750 #KenyaAirwaysCorruptCEO https://t.co/vrcccZx38n","Twitter for Android",140,,,,FALSE,TRUE,0,21,,,,,,,,,,,,,,,,"x1218241052043284480 x1380815491","kafangi robjun_990960","en",,,,,,,,,,,,,,,,"x1355188263066218498",".@robjun_990960 na kuwai deal fiti usiku wa leo 
<U+265F><U+FE0F>Go to Lipa Na Mpesa 
<U+265F><U+FE0F>Paybill 990960
<U+265F><U+FE0F>Acc No. as your safaricom No. 
<U+260E><U+FE0F> call/sms 0771763472

MCAs Kanze Dena #masterwaysbrandlaunch #KibichoMustResign Chief Justice Council of governos #250vs750 #KenyaAirwaysCorruptCEO https://t.co/vrcccZx38n",2021-01-29 16:17:14,"Twitter for Android",27,21,"x1218241052043284480","kafangi","<U+0001F341>NIWAI KIBANGI<U+0001F341>",37401,5058,54777,"<U+0001F30E>","jokes city<U+0001F602>||#MUFC||kijana ya Egerton<U+0001F468><U+0001F3FD><U+200D><U+0001F393>|| leta Biz tupepete|| won 5 stingy boyfriend award<U+0001F3C6>|",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/DARSIL254/status/1355196450997727233","STINGY MEN ASSOCIATION OF KENYA","Nairobi, Kenya","Click the FOLLOW BUTTON<U+0001F4CC>
   
<U+0001F525>LET ME SEE WHAT I CAN DO<U+0001F525>

Advertise Here||
Social Media Guru||
Digital Marketing||
BS.Promos & Tags||

Manchester United<U+2764><U+FE0F>","https://t.co/Xb1mnkVOxi",FALSE,16428,2701,2,29593,89103,2020-04-08 07:28:52,FALSE,"https://t.co/Xb1mnkVOxi","http://wa.me/+254712515809",,"https://pbs.twimg.com/profile_banners/1247788402549731330/1610466289",,"http://pbs.twimg.com/profile_images/1349018312425021440/GpOE_2yJ_normal.jpg"
"x1261349371540574209","x1355196408538738692",2021-01-29 16:49:36,"MainChiq4",".@robjun_990960 na kuwai deal fiti usiku wa leo 
<U+265F><U+FE0F>Go to Lipa Na Mpesa 
<U+265F><U+FE0F>Paybill 990960
<U+265F><U+FE0F>Acc No. as your safaricom No. 
<U+260E><U+FE0F> call/sms 0771763472

MCAs Kanze Dena #masterwaysbrandlaunch #KibichoMustResign Chief Justice Council of governos #250vs750 #KenyaAirwaysCorruptCEO https://t.co/vrcccZx38n","Twitter for Android",140,,,,FALSE,TRUE,0,21,,,,,,,,,,,,,,,,"x1218241052043284480 x1380815491","kafangi robjun_990960","en",,,,,,,,,,,,,,,,"x1355188263066218498",".@robjun_990960 na kuwai deal fiti usiku wa leo 
<U+265F><U+FE0F>Go to Lipa Na Mpesa 
<U+265F><U+FE0F>Paybill 990960
<U+265F><U+FE0F>Acc No. as your safaricom No. 
<U+260E><U+FE0F> call/sms 0771763472

MCAs Kanze Dena #masterwaysbrandlaunch #KibichoMustResign Chief Justice Council of governos #250vs750 #KenyaAirwaysCorruptCEO https://t.co/vrcccZx38n",2021-01-29 16:17:14,"Twitter for Android",27,21,"x1218241052043284480","kafangi","<U+0001F341>NIWAI KIBANGI<U+0001F341>",37401,5058,54777,"<U+0001F30E>","jokes city<U+0001F602>||#MUFC||kijana ya Egerton<U+0001F468><U+0001F3FD><U+200D><U+0001F393>|| leta Biz tupepete|| won 5 stingy boyfriend award<U+0001F3C6>|",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MainChiq4/status/1355196408538738692","Main Chiq<U+0001F970>","Nairobi, Kenya","I believe In what I can do. I have Wild Imaginations, but all are geared up to My success. I joke a lot tho'<U+0001F618>
follow backup @_ItsCloe_ #Cindy",,FALSE,38931,2125,22,118187,75556,2020-05-15 17:35:23,FALSE,,,,"https://pbs.twimg.com/profile_banners/1261349371540574209/1607443338",,"http://pbs.twimg.com/profile_images/1340006096619130880/gRoYsal__normal.jpg"
